BookID,Title,Authors,Abstract,Keywords,PublicationDate,Categories,Publisher,ISBN,UserRating,NumberOfRatings,Popularity
22,Madame Bovary,Gustave Flaubert,A novel about a doctor's wife who has adulterous affairs.,"Marriage, Infidelity, Society",1857-01-01,Realist Fiction,Michel Lévy Frères,9780140449129,4.0,2980,2600
23,The Scarlet Letter,Nathaniel Hawthorne,A novel about a woman who has a child out of wedlock.,"Sin, Guilt, Redemption",1850-01-01,Historical Fiction,"Ticknor, Reed & Fields",9780142437261,4.3,3160,2900
24,The Picture of Dorian Gray,Oscar Wilde,A novel about a man who sells his soul to retain his youth.,"Beauty, Youth, Corruption",1890-01-01,Philosophical Fiction,Lippincott's Monthly Magazine,9780141439570,4.5,2990,3100
25,Wuthering Heights,Emily Brontë,A gothic novel about the love between Catherine and Heathcliff.,"Love, Revenge, Passion",1847-01-01,Gothic Fiction,Thomas Cautley Newby,9780141439556,4.2,3540,3300
26,The Count of Monte Cristo,Alexandre Dumas,"A story about Edmond Dantès, a man who is wrongfully imprisoned.","Justice, Revenge, Imprisonment",1844-01-01,"Adventure, Historical Fiction",Pétion,9780140449266,4.7,4620,4600
27,A Tale of Two Cities,Charles Dickens,A novel about the French Revolution and the lives of two men.,"Revolution, Sacrifice, Duality",1859-01-01,Historical Fiction,Chapman & Hall,9780141439600,4.6,5120,5000
28,Les Misérables,Victor Hugo,A historical novel about the struggles of the poor in France.,"Justice, Poverty, Redemption",1862-01-01,Historical Fiction,"A. Lacroix, Verboeckhoven & Cie",9780192833909,4.8,4800,4900
29,Anna Karenina,Leo Tolstoy,"A tragic novel about love, politics, and society in Russia.","Love, Society, Russia",1877-01-01,Realist Fiction,The Russian Messenger,9780140449174,4.5,3990,4300
30,The Stranger,Albert Camus,A novel about an indifferent man who is drawn into crime.,"Existentialism, Absurdism, Alienation",1942-01-01,Philosophical Fiction,Gallimard,9780679720201,4.0,4100,4200
31,Fahrenheit 451,Ray Bradbury,A dystopian novel where books are banned and burned.,"Dystopia, Censorship, Freedom",1953-10-19,Dystopian Fiction,Ballantine Books,9781451673319,4.5,4100,3950
32,The Sun Also Rises,Ernest Hemingway,A novel about American and British expatriates in post WWI Europe.,"Post-war, Expatriates, Love",1926-10-22,Modernist Fiction,Charles Scribner's Sons,9780743297332,4.4,3450,3550
33,The Road,Cormac McCarthy,A post-apocalyptic tale of a father and son's journey.,"Survival, Journey, Fatherhood",2006-09-26,Post-apocalyptic Fiction,Knopf,9780307387899,4.7,3980,4200
34,Slaughterhouse-Five,Kurt Vonnegut,A satirical novel about the bombing of Dresden in WWII.,"War, Trauma, Satire",1969-03-31,"Science Fiction, Satire",Delacorte Press,9780385333849,4.3,3220,3600
35,The Grapes of Wrath,John Steinbeck,A novel about a poor family's journey to California during the Great Depression.,"Poverty, Migration, Struggle",1939-04-14,Historical Fiction,The Viking Press,9780143039433,4.6,5000,4900
36,One Hundred Years of Solitude,Gabriel Garcia Marquez,A magical realism novel chronicling the Buendía family.,"Magical Realism, Family, Latin America",1967-05-30,Magical Realism,Harper & Row,9780060883287,4.9,5100,5200
37,Beloved,Toni Morrison,A novel about a former slave haunted by her past.,"Slavery, Memory, Ghosts",1987-09-16,Historical Fiction,Alfred A. Knopf,9781400033416,4.5,3400,3500
38,Invisible Man,Ralph Ellison,A novel exploring race and identity in America.,"Race, Identity, Society",1952-04-14,African-American Fiction,Random House,9780679732761,4.8,4700,4800
39,Heart of Darkness,Joseph Conrad,A novella about a voyage up the Congo River and the darkness of human nature.,"Imperialism, Darkness, Journey",1899-01-01,Modernist Fiction,Blackwood's Magazine,9780486264648,4.1,2900,3150
40,Lolita,Vladimir Nabokov,A novel about an older man's obsession with a young girl.,"Obsession, Morality, Manipulation",1955-09-15,Psychological Fiction,Olympia Press,9780679723165,4.2,3100,3250
41,East of Eden,John Steinbeck,A multi-generational saga set in California's Salinas Valley.,"Family, Struggle, Legacy",1952-09-01,Historical Fiction,Viking Press,9780142004234,4.4,3500,3700
42,The Old Man and the Sea,Ernest Hemingway,A novella about an old man's struggle to catch a giant fish.,"Struggle, Nature, Determination",1952-09-01,"Classic, Fiction",Charles Scribner's Sons,9780684830490,4.5,3800,4000
43,The Bell Jar,Sylvia Plath,A semi-autobiographical novel about a young woman's descent into mental illness.,"Mental Illness, Feminism, Society",1963-01-14,Feminist Fiction,Heinemann,9780060837020,4.2,2750,2900
44,The Catch-22,Joseph Heller,A satirical novel set during WWII that explores the absurdities of war.,"War, Satire, Absurdity",1961-11-10,"War, Satirical Fiction",Simon & Schuster,9781451626650,4.3,3350,3400
45,Brave New World Revisited,Aldous Huxley,"A collection of essays discussing the themes of ""Brave New World"".","Dystopia, Technology, Society",1958-01-01,"Essay, Non-fiction",Harper & Row,9780060850524,4.1,2950,3000
46,The Handmaid's Tale,Margaret Atwood,A dystopian novel about a theocratic society where women are oppressed.,"Dystopia, Oppression, Feminism",1985-09-17,Dystopian Fiction,McClelland and Stewart,9780385490818,4.6,4200,4500
47,Gone with the Wind,Margaret Mitchell,A historical novel set in the American South during the Civil War.,"Civil War, Romance, Struggle",1936-06-30,Historical Fiction,Macmillan Publishers,9781451635621,4.4,4500,4650
48,The Sound and the Fury,William Faulkner,A modernist novel focusing on the Compson family.,"Family, Decay, Modernism",1929-10-07,Modernist Fiction,Jonathan Cape,9780679732243,4.0,3650,3550
49,Catch-22,Joseph Heller,A satirical novel exploring the contradictions of war and bureaucracy.,"War, Absurdity, Bureaucracy",1961-11-10,"War, Satirical Fiction",Simon & Schuster,9781451626650,4.3,3300,3400
50,Of Mice and Men,John Steinbeck,A novella about two displaced migrant ranch workers.,"Friendship, Tragedy, Poverty",1937-02-06,"Classic, Fiction",Covici Friede,9780140186429,4.6,3700,3700
